scenario,individual,treatment,Speed.mean
Before,1,Control,0.491525833
During,1,Control,0.387211909
After,1,Control,0.363038801
Before,2,Medium,0.505388216
During,2,Medium,0.663148511
After,2,Medium,0.853773133
Before,3,Control,0.8747993
During,3,Control,0.900156415
After,4,Medium,0.362231209
Before,5,High,0.694056473
During,5,High,0.701865693
Before,6,High,0.562681515
During,6,High,1.407893359
After,6,High,0.625378141
Before,7,Medium,0.504785318
During,7,Medium,0.278548544
After,7,Medium,0.249816028
Before,8,High,0.543380401
During,8,High,0.504855736
After,8,High,1.265625464
Before,9,High,0.37203752
During,9,High,0.38621372
After,9,High,0.45876809
Before,10,Medium,0.105942485
During,10,Medium,0.133222854
After,10,Medium,0.2362
Before,11,Control,0.310383679
During,11,Control,0.26748279
After,11,Control,0.223456291
Before,12,High,0.145828396
During,12,High,0.188887549
After,12,High,0.196682127
Before,13,High,0.17859593
During,13,High,0.404007676
After,13,High,0.239031912
Before,14,Control,0.270564221
During,14,Control,0.247348146
After,14,Control,0.27488365
Before,15,Medium,0.099883357
During,15,Medium,0.134989253
After,15,Medium,0.198438685
Before,16,Medium,0.075429588
During,16,Medium,0.105094115
After,16,Medium,0.28160193
Before,17,Control,0.224943505
During,17,Control,0.207816396
After,17,Control,0.230200336
Before,18,High,0.115151337
During,18,High,0.169363717
After,18,High,0.171356879
Before,19,Medium,0.275519294
During,19,Medium,0.28809821
After,19,Medium,0.35246546
Before,20,High,0.247916756
During,20,High,0.37628193
After,20,High,0.24718107
Before,21,Medium,0.33709
During,21,Medium,0.269701112
After,21,Medium,0.248688532
Before,22,High,0.56179762
During,22,High,0.952178568
After,22,High,0.862662543
Before,23,Medium,0.204745322
During,23,Medium,0.277730873
After,23,Medium,0.14701919
Before,24,Medium,0.311288462
During,24,Medium,0.172996564
After,24,Medium,0.698625602
Before,25,Control,0.410593936
During,25,Control,0.404944037
After,25,Control,0.42392996
Before,26,Medium,0.161016378
During,26,Medium,0.308157389
After,26,Medium,0.112304626
Before,27,High,0.151262651
During,27,High,0.195758879
After,27,High,0.21983984
Before,28,High,0.674609877
During,28,High,0.371629489
After,28,High,0.374783106
Before,29,Medium,0.274697967
During,29,Medium,0.314898465
After,29,Medium,0.186730994
Before,30,Control,0.410226946
During,30,Control,0.242910026
After,30,Control,0.657255864
Before,31,High,0.172678974
During,31,High,0.591143877
After,31,High,0.23277174
Before,32,Control,0.184692781
During,32,Control,0.184329737
After,32,Control,0.221933873
Before,33,Medium,0.452373318
During,33,Medium,0.382509009
After,33,Medium,0.363758125
Before,34,Control,0.337063339
During,34,Control,0.264675303
After,34,Control,0.39331423
Before,35,Control,0.136190068
During,35,Control,0.094540069
After,35,Control,0.059609962
Before,36,Medium,0.060311498
During,36,Medium,0.609510343
After,36,Medium,0.6326969
Before,37,High,0.160104508
During,37,High,0.25405996
Before,38,High,0.559607071
During,38,High,1.030446346
After,38,High,0.066199211
Before,39,High,0.140741597
During,39,High,0.293331311
After,39,High,0.41114658
Before,40,Control,0.312485857
During,40,Control,0.31820295
After,40,Control,0.404775982
Before,41,Control,0.086135001
During,41,Control,0.060903819
After,41,Control,0.26532234
Before,42,Control,0.360014638
During,42,Control,0.65648972
After,42,Control,0.609693565
